Paradigm,contrast,mask (from Harvard-oxford),mask size,Cohen's D,,,Percent BOLD change,,
,,,,10%,median,90%,10%,median,90%
motor,avg,Precentral gyrus,29115,-0.02,0.19,0.41,0.00,2.39,8.21
,,Supplementary motor cortex,5970,0.05,0.21,0.37,0.56,4.72,14.79
,,Left putamen,3168,-0.02,0.12,0.27,0.11,2.51,4.33
,,Right putamen,3207,-0.04,0.10,0.25,-0.40,1.89,3.60
WM,2-b vs 0-b,Middle Frontal Gyrus,18250,-0.01,0.17,0.35,0.14,1.04,2.81
Emotion,faces vs houses,Left amygdala,1864,0.05,0.20,0.40,0.72,1.51,3.83
,,Right amygdala,2083,0.06,0.22,0.43,0.72,1.59,4.04
Gambling,reward vs punish,Left accumbens,820,0.03,0.09,0.14,0.39,0.79,1.27
,,Right accumbens,762,0.03,0.09,0.15,0.43,0.97,1.53
